code,title,first_author,first_author_org,all_authors,session,type,date,time,place,categories,has_fulltext,url
GG01-01,"GG01-01: The SUMMIT Study: A real-world, prospective, multi-center study to evaluate the performance of the Optilume® BPH Catheter System in men with symptomatic Benign Prostatic Hyperplasia (BPH)",Dean Elterman,University of Toronto,Dean Elterman,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM3NQ==
GG01-02,GG01-02: Effect of a virtual home hospital pathway on length of stay and recurrent presentations in septic stone patients,Matthew Mancuso,The University of Alberta,Matthew Mancuso,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUxMA==
GG01-03,GG01-03: Evaluation of testes with micro-ultrasound in men with non-obstructive azoospermia,Matthew Mancuso,The University of Alberta,Matthew Mancuso,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUwOQ==
GG01-04,GG01-04: Expanding Same-Day-Discharge Aquablation BPH Surgery Outcomes in Ambulatory Surgical Centers: Updated Largest Experience Outcomes of 350 Consecutive Cases,Adel Arezki,McGill University,Adel Arezki,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM3NA==
GG01-05,GG01-05: Global Prostate Research Disparities: A 25-Year Bibliometric Analysis of Authorship Equity and Disease Focus,Hasim Bakbak,"Desai Sethi Urology Institute, University of Miami",Hasim Bakbak,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUxNg==
GG01-09,"GG01-09: The WASHOUT study: early proactive intervention in emergency haematuria reduces length of stay, mortality andreadmissions",Yazan Qaoud,University of Ottawa,Yazan Qaoud,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUxNA==
GG01-10,"GG01-10: Comparing Hounsfield Units, Vickers Hardness, and Surgeon-Perceived Fragmentation Susceptibility between Cohorts of Pure Uric Acid and Calcium Oxalate Monohydrate Calculi",Gavin Hughes,The University of Toronto,Gavin Hughes,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUxNw==
GG01-11,GG01-11: Effect of High-Fat Diet on Radiation Response in bladder cancer: An In Vivo Study,Rakan Alhaidey,,Rakan Alhaidey,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUxOQ==
GG01-13,GG01-13: A Comparative Analysis of Prostatic Urethral Lift and Water Vapour Thermal Therapy for Benign Prostatic Hyperplasia on Post-procedural Medication Cessation and Unplanned Readmissions,Chi-Fai Ng,"Sh Ho Urology Centre, The Chinese University of Hong Kong",Chi-Fai Ng,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUyNA==
GG01-15,GG01-15: Predictive Modelling of Functional Outcomes in HoLEP Versus Monopolar TURP: A Randomized Trial with ROC and Multivariate Statistical Analysis in Large-Volume BPH,Prajeeth Reddy KatamReddy,,Prajeeth Reddy KatamReddy,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM3Ng==
GG01-16,GG01-16: Level of Circulating Cell-Free DNA in Urinary Bladder Cancer After Transurethral Resection of Bladder Tumour : A Prospective Observational Study,Sivaraman C,"Postgraduate Institute of Medical Education And Research, Chandigarh",Sivaraman C,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUyOQ==
GG01-17,GG01-17: Diagnostic Performance of 68GA-PSMA-PET and MpMRI Fusion Based Targeted-  Cognitive Biopsy in Patients with Suspected Prostate Cancer: A Pilot Study,Rohit Gupta,,Rohit Gupta,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM3Nw==
